                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3              
2011  252  45610867      19.45       4.46     -18.77      -1.26      -3.73     283.38      412.3       74.7       21.4      0.665
2011  252  45708988      18.93       5.65     -17.29       4.14      12.81     288.09      411.5       75.8       22.0      0.741
2011  252  45806968      20.22       1.83     -19.26      -5.72     -16.47     275.41      423.5       87.4       21.5      0.845
2011  252  45905085      19.18       2.44     -18.78      -1.13      -3.40     277.40      428.2       76.0       19.8      0.654
2011  252  46003207      17.07       3.10     -16.20       4.04      13.76     280.85      420.3       89.2       24.9      1.430
2011  252  46101464      17.39       5.86      -8.51      13.25      52.07     304.55      419.9       78.5       22.2      0.953
2011  252  46205578      13.38       4.56      -7.66       9.21      45.94     300.78      432.0       87.0       26.5      2.353
2011  252  46300628      16.39       0.71     -12.67      -9.25     -36.10     273.23      429.0       87.5       18.0      1.080
2011  252  46395679      18.74       0.73     -11.47     -14.78     -52.11     273.65      430.2       98.4       20.3      1.177
2011  252  46493765      19.61      -0.53     -13.36     -14.29     -46.90     267.74      438.0       80.2       18.8      0.661
2011  252  46591917      19.21      -0.01     -13.13     -14.00     -46.85     269.98      434.9       79.9       18.8      0.685
2011  252  46690039      17.80       0.74      -9.54     -14.11     -55.84     274.43      424.5       87.0       21.4      1.075
2011  252  46778960      16.92       0.02      -5.33     -15.97     -71.52     270.23      427.3       87.6       20.9      1.180
2011  252  46886277      16.68       1.54      -9.17     -13.77     -55.97     279.53      431.2       88.8       20.9      1.244
2011  252  46984429      15.53       5.71      -9.35      -7.46     -34.23     301.42      436.6       82.5       18.6      1.105
2011  252  47082515      14.97       6.53     -12.46      -5.07     -19.80     297.67      422.9       89.2       23.4      1.745
2011  252  47186765      15.12       6.93     -12.06      -5.88     -22.89     299.88      416.9       92.3       23.5      1.840
2011  252  47281820      16.07       6.20     -12.15      -8.42     -31.68     297.05      423.3       93.5       23.3      1.661
2011  252  47376871      16.81       3.85     -12.53     -10.46     -38.59     287.10      421.3       82.2       20.2      1.015
2011  252  47474992      16.72       2.71     -10.08     -12.62     -50.39     285.02      425.6       95.5       21.8      1.493
2011  252  47573144      15.88      -3.86      -5.88     -14.13     -63.53     236.72      425.0       84.6       17.9      1.067
2011  252  47671265      15.38      -2.15      -5.90     -13.99     -65.82     250.03      424.3       88.0       19.2      1.322
2011  252  47769382      15.16      -1.64      -4.06     -14.47     -73.15     248.05      427.2       99.9       20.8      1.900
2011  252  47867503      13.52      -1.31      -3.74     -12.80     -72.80     250.68      427.3       93.9       19.9      2.021
2011  252  47965761       5.05      -0.57       0.96      -4.38     -75.67     120.75      434.9      104.1       26.1     23.310
2011  252  48063777       4.79       1.34       3.44      -2.55     -34.58      68.70      431.5      102.9       26.4     25.605
2011  252  48171058       5.05       2.20       1.39      -3.39     -52.46      32.30      433.4       99.6       25.6     20.926
2011  252  48250921       4.13       2.13       1.06       0.46      10.85      26.43      428.8       96.8       24.6     28.363
2011  252  48362730       9.80       4.42       6.41       5.14      33.43      55.43      443.2       99.7       22.4      4.871
2011  252  48647894      17.19       7.46      10.07      11.62      42.84      53.46      444.3      107.3       18.9      1.547
2011  252  48746152      15.38       7.68       8.07      10.51      43.35      46.41      450.1      124.9       23.2      3.216
2011  252  48846445      12.77       0.51       4.68      -0.17      -2.10      83.74      458.5       95.8       20.1      2.381
2011  252  48942250      16.25      -3.91     -11.56     -10.02     -39.38     251.33      445.7      101.3       18.5      1.514
2011  252  49046675      11.08       2.61      -1.02      -8.45     -71.66     338.68      434.2      108.8       19.8      4.008
2011  252  49152425       8.93       4.49       4.66       2.24      19.09      46.03      435.9      109.2       19.1      5.984
2011  252  49250546       9.44       0.27       0.65      -6.70     -84.01      67.12      452.1      111.9       20.6      6.098
2011  252  49345421      17.59      -4.53      -7.90     -15.03     -58.78     240.20      460.1       98.5       14.8      0.975
