             Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs      Vth         Np        Psw         Pb        Pth        Beta       Mms    
                          km/s       cm^3       nPa        nPa        nPa                          
2011  252  21074968       15.4        8.3    1.67871    0.00183    0.00164      0.893      12.98
2011  252  21174480       14.6        8.0    1.63004    0.00185    0.00143      0.772      13.27
2011  252  21272740       15.1        8.5    1.72639    0.00171    0.00160      0.936      13.44
2011  252  21370718       14.9        8.7    1.77011    0.00171    0.00162      0.945      13.59
2011  252  21467445       13.7        8.8    1.77866    0.00177    0.00138      0.783      14.12
2011  252  21566957       14.1        8.9    1.80287    0.00168    0.00149      0.888      14.10
2011  252  21655876       16.2        8.9    1.79991    0.00166    0.00195      1.170      13.01
2011  252  21764869       14.1        8.9    1.80565    0.00165    0.00149      0.902      14.16
2011  252  21859921       13.8        9.1    1.84728    0.00163    0.00144      0.886      14.49
2011  252  21958041       13.6        9.2    1.86850    0.00160    0.00143      0.894      14.68
2011  252  22056158       13.8        9.1    1.83928    0.00155    0.00145      0.937      14.58
2011  252  22154277       13.8        9.2    1.84459    0.00153    0.00145      0.952      14.65
2011  252  22252396       13.9        9.2    1.85792    0.00157    0.00148      0.942      14.53
2011  252  22350515       13.7        9.0    1.82702    0.00152    0.00142      0.936      14.69
2011  252  22448634       13.9        9.2    1.86098    0.00147    0.00147      1.001      14.75
2011  252  22546753       14.2        9.1    1.85654    0.00133    0.00154      1.157      14.81
2011  252  22637066       16.2        9.6    1.95402    0.00131    0.00211      1.612      13.71
2011  252  22746058       13.9        9.2    1.86975    0.00135    0.00149      1.105      14.98
2011  252  22841111       13.8        9.1    1.84644    0.00146    0.00145      0.993      14.80
2011  252  22938142       13.6        9.0    1.80923    0.00141    0.00138      0.983      14.96
2011  252  23037349       13.5        9.1    1.83508    0.00143    0.00139      0.971      15.01
2011  252  23135468       13.6        9.2    1.85060    0.00140    0.00142      1.016      15.01
2011  252  23233587       13.6        9.1    1.83161    0.00140    0.00141      1.006      15.01
2011  252  23331707       13.7        9.1    1.83262    0.00135    0.00144      1.067      15.00
2011  252  23429826       13.8        9.1    1.82191    0.00134    0.00144      1.075      14.98
2011  252  23526412       14.4        9.1    1.79078    0.00127    0.00157      1.237      14.58
2011  252  23618257       16.1        9.2    1.80679    0.00129    0.00198      1.537      13.53
2011  252  23727249       14.5        8.8    1.75355    0.00135    0.00156      1.153      14.30
2011  252  23822302       14.9        8.9    1.76802    0.00119    0.00165      1.381      14.41
2011  252  23918888       14.9        9.0    1.79031    0.00115    0.00167      1.459      14.52
2011  252  24017007       15.0        9.1    1.80666    0.00110    0.00171      1.554      14.58
2011  252  24116658       14.8        8.9    1.76959    0.00107    0.00162      1.516      14.75
2011  252  24214777       14.6        9.1    1.82517    0.00105    0.00163      1.545      15.00
2011  252  24312896       14.5        9.1    1.83601    0.00087    0.00160      1.850      15.56
2011  252  24411015       14.5        9.0    1.79567    0.00083    0.00159      1.920      15.52
2011  252  24509134       15.2        9.3    1.86133    0.00072    0.00180      2.511      15.31
2011  252  24599447       16.1        9.5    1.91323    0.00108    0.00206      1.909      14.06
2011  252  24708439       15.0        9.5    1.91260    0.00108    0.00179      1.666      14.80
2011  252  24803492       15.4       10.2    2.06261    0.00108    0.00201      1.860      14.75
2011  252  24901611       14.4        9.3    1.90087    0.00111    0.00162      1.466      15.22
2011  252  25001263       14.7        9.5    1.95408    0.00120    0.00172      1.438      14.93
2011  252  25097849       14.4        9.5    1.93974    0.00099    0.00164      1.660      15.56
2011  252  25197361       14.4        9.7    1.99337    0.00089    0.00170      1.910      15.82
2011  252  25295480       14.3        9.6    1.96645    0.00084    0.00164      1.956      16.01
2011  252  25389140       14.9        9.8    2.00874    0.00082    0.00183      2.217      15.58
2011  252  25487259       14.2        9.4    1.90703    0.00077    0.00160      2.085      16.10
2011  252  25577572       16.2        9.9    2.00474    0.00080    0.00216      2.687      14.63
2011  252  25681824       14.6        9.7    1.96809    0.00074    0.00173      2.327      15.95
2011  252  25781617       15.2        9.9    1.98272    0.00098    0.00190      1.934      14.93
2011  252  25881128       15.0        9.4    1.93175    0.00102    0.00178      1.736      15.01
2011  252  25979248       14.3        8.6    1.76116    0.00104    0.00147      1.413      15.27
2011  252  26078900       14.4        9.3    1.91521    0.00094    0.00162      1.728      15.67
2011  252  26174093       14.4        9.1    1.82559    0.00100    0.00157      1.569      15.30
2011  252  26272212       14.1        9.0    1.79537    0.00116    0.00150      1.288      15.05
