         Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np    
                           nT         nT         nT         nT        km/s       cm^3   
1998  123  30610128       6.60       4.94      -2.44      -3.63      467.9       31.4
1998  123  30719636       6.63       4.82      -2.42      -3.85      467.5       41.6
1998  123  30802390       6.60       4.81      -2.24      -3.86      466.6       32.6
1998  123  30892511       6.73       5.16      -1.72      -3.94      469.0       29.0
1998  123  30988642       6.74       5.20      -1.80      -3.88      469.2       32.8
1998  123  31180904       6.66       4.88      -1.90      -4.11      469.0       32.5
1998  123  31277033       6.81       4.59      -2.09      -4.57      468.9       31.3
1998  123  31373164       6.83       4.98      -2.54      -3.90      468.7       28.6
1998  123  31472298       6.73       4.90      -2.68      -3.75      468.3       29.2
1998  123  31568427       6.53       4.76      -2.71      -3.53      468.0       31.3
1998  123  31677935       6.42       4.61      -2.10      -3.93      467.5       41.1
1998  123  31760689       6.42       4.65      -1.98      -3.95      467.4       31.2
1998  123  31850812       6.37       4.68      -1.85      -3.90      467.2       33.9
1998  123  31946941       6.40       4.64      -1.57      -4.12      466.5       32.2
1998  123  32046076       6.37       4.56      -1.52      -4.15      466.5       31.6
1998  123  32142207       6.47       4.86      -1.12      -4.12      467.7       29.4
1998  123  32235332       6.44       4.88      -0.86      -4.12      467.8       29.0
1998  123  32430597       5.82       3.98      -1.46      -3.98      464.3       39.8
1998  123  32526726       5.90       4.15      -1.61      -3.86      464.8       37.6
1998  123  32631728       5.89       4.21      -1.69      -3.75      464.2       57.9
1998  123  32715982       6.08       4.54      -1.23      -3.85      466.0       35.3
1998  123  32809109       6.07       4.79      -1.22      -3.50      466.5       33.3
1998  123  32905242       6.11       4.65      -1.46      -3.68      466.9       31.8
1998  123  32998367       6.17       4.75      -1.44      -3.66      467.2       30.9
1998  123  33097499       6.17       4.78      -1.33      -3.66      467.0       30.8
1998  123  33193628       6.12       4.72      -1.28      -3.68      466.9       31.6
1998  123  33289761       6.17       4.77      -1.17      -3.73      467.2       30.3
1998  123  33382886       6.25       5.11      -0.80      -3.50      468.1       28.2
1998  123  33479015       6.32       5.25      -0.71      -3.46      467.4       25.1
1998  123  33588527       6.32       5.24      -0.69      -3.47      466.4       30.5
1998  123  33671277       6.27       5.07      -1.26      -3.44      466.9       24.3
1998  123  33764402       6.15       4.94      -1.40      -3.36      465.4       24.8
1998  123  33860535       6.12       5.08      -0.73      -3.32      465.9       27.6
1998  123  33958164       6.15       5.23       0.17      -3.21      466.0       25.6
1998  123  34055796       6.04       4.89      -1.74      -3.06      465.8       26.1
1998  123  34151925       6.05       4.72      -2.25      -3.05      465.6       26.7
1998  123  34248058       6.02       4.75      -2.02      -3.09      465.1       29.8
1998  123  34342683       6.03       4.85      -1.88      -3.05      464.9       30.6
1998  123  34440320       5.99       4.93      -1.91      -2.81      463.2       33.6
1998  123  34546964       5.96       4.93      -1.82      -2.81      463.1       50.4
1998  123  34629574       5.82       4.82      -1.78      -2.56      461.2       34.3
1998  123  34724878       5.47       4.87      -0.09      -2.42      461.3       62.6
1998  123  34818828       5.57       5.06       0.69      -2.21      463.8       54.1
1998  123  34914960       5.41       4.66       0.94      -2.52      463.1       61.4
1998  123  35011089       5.43       4.67       1.32      -2.38      463.2       58.4
1998  123  35107218       5.46       4.46       1.94      -2.46      463.1       58.5
1998  123  35203347       5.39       4.67       1.82      -1.96      463.2       59.8
1998  123  35299480       5.35       4.66       1.83      -1.88      463.2       60.8
1998  123  35395609       5.40       4.75       1.91      -1.71      462.9       57.5
1998  123  35502250       5.24       4.55       1.65      -2.01      462.8       96.8
1998  123  35584867       5.45       4.68       1.89      -2.02      463.1       57.0
1998  123  35677992       5.62       4.58       2.44      -2.14      462.4       57.2
1998  123  35776300       5.93       5.23       0.70      -2.59      459.0       48.7
1998  123  35870249       6.12       5.32      -0.31      -2.96      460.4       34.3
1998  123  35966382       6.21       4.92      -1.27      -3.57      459.4       34.1
1998  123  36062511       6.21       4.57      -1.83      -3.77      457.6       34.1
