             Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz        Psw         Pb        Pth    
                           nT         nT         nT         nT        nPa        nPa        nPa    
2011  252  24017007       1.66      -0.87      -1.35      -0.41    1.80666    0.00110    0.00171
2011  252  24116658       1.64      -0.76      -1.39      -0.43    1.76959    0.00107    0.00162
2011  252  24214777       1.63      -0.55      -1.45      -0.50    1.82517    0.00105    0.00163
2011  252  24312896       1.47      -0.47      -1.28      -0.52    1.83601    0.00087    0.00160
2011  252  24411015       1.44      -0.58      -1.30      -0.21    1.79567    0.00083    0.00159
2011  252  24509134       1.34      -0.54      -1.21      -0.02    1.86133    0.00072    0.00180
2011  252  24599447       1.65      -0.51      -1.54      -0.03    1.91323    0.00108    0.00206
2011  252  24708439       1.64      -0.27      -1.50      -0.52    1.91260    0.00108    0.00179
2011  252  24803492       1.65       0.45      -0.57      -0.94    2.06261    0.00108    0.00201
2011  252  24901611       1.67       0.90      -0.09      -1.33    1.90087    0.00111    0.00162
2011  252  25001263       1.73       0.69      -0.50      -1.51    1.95408    0.00120    0.00172
2011  252  25097849       1.58       0.40      -1.07      -1.09    1.93974    0.00099    0.00164
2011  252  25197361       1.49       0.40      -1.07      -0.95    1.99337    0.00089    0.00170
2011  252  25295480       1.45       0.25      -1.12      -0.88    1.96645    0.00084    0.00164
2011  252  25389140       1.44       0.24      -0.96      -1.03    2.00874    0.00082    0.00183
2011  252  25487259       1.39      -0.01      -1.06      -0.85    1.90703    0.00077    0.00160
2011  252  25577572       1.42       0.25      -1.20      -0.69    2.00474    0.00080    0.00216
2011  252  25681824       1.37       0.13      -1.06      -0.76    1.96809    0.00074    0.00173
2011  252  25781617       1.57      -0.27      -1.33      -0.70    1.98272    0.00098    0.00190
2011  252  25881128       1.60       0.20      -1.25      -0.91    1.93175    0.00102    0.00178
2011  252  25979248       1.62      -0.07      -1.28      -0.95    1.76116    0.00104    0.00147
2011  252  26078900       1.53       0.36      -1.19      -0.85    1.91521    0.00094    0.00162
2011  252  26174093       1.59      -0.22      -1.31      -0.81    1.82559    0.00100    0.00157
2011  252  26272212       1.71      -0.66      -1.39      -0.72    1.79537    0.00116    0.00150
2011  252  26368798       1.81      -1.06      -1.30      -0.65    1.74051    0.00130    0.00156
2011  252  26466916       1.76      -1.10      -1.27      -0.49    1.69902    0.00123    0.00156
2011  252  26557228       1.59      -0.97      -1.18      -0.37    1.72391    0.00101    0.00199
2011  252  26666220       1.37      -0.87      -0.95      -0.38    1.76045    0.00074    0.00166
2011  252  26761132       1.67      -1.28      -0.88      -0.57    1.68350    0.00111    0.00164
2011  252  26859392       1.49      -0.99      -0.88      -0.62    1.78384    0.00088    0.00190
2011  252  26957511       1.33      -0.76      -0.86      -0.67    1.76405    0.00071    0.00161
2011  252  27054097       1.42      -1.12      -0.71      -0.45    1.76498    0.00081    0.00198
2011  252  27152216       1.41      -1.33      -0.35      -0.22    1.70758    0.00079    0.00203
2011  252  27251869       1.39      -1.10      -0.55      -0.35    1.70511    0.00076    0.00169
2011  252  27348455       1.62      -1.17      -0.68      -0.65    1.74297    0.00104    0.00209
2011  252  27447966       1.72      -1.28      -1.00      -0.54    1.85897    0.00118    0.00206
2011  252  27538419       1.76      -1.38      -0.98      -0.45    1.83996    0.00123    0.00222
2011  252  27647271       1.73      -1.28      -1.09      -0.38    1.80986    0.00119    0.00193
2011  252  27740931       1.76      -1.36      -1.05      -0.22    1.79678    0.00123    0.00198
2011  252  27840583       1.74      -1.18      -1.09      -0.41    1.78078    0.00120    0.00185
2011  252  27938562       1.77      -1.32      -1.08      -0.41    1.80741    0.00124    0.00197
2011  252  28036681       1.89      -1.32      -1.24      -0.54    1.75124    0.00142    0.00173
2011  252  28133408       1.96      -1.51      -1.06      -0.62    1.73750    0.00152    0.00180
2011  252  28231527       2.01      -1.51      -1.02      -0.85    1.72810    0.00161    0.00182
2011  252  28329646       1.97      -1.53      -0.91      -0.85    1.70548    0.00155    0.00169
2011  252  28429298       1.86      -1.24      -1.07      -0.86    1.87502    0.00137    0.00187
2011  252  28519609       1.83      -1.24      -1.20      -0.62    1.87254    0.00133    0.00212
2011  252  28628601       1.81      -1.21      -1.23      -0.50    1.85138    0.00130    0.00184
2011  252  28723513       1.85      -1.07      -1.31      -0.76    1.90021    0.00137    0.00188
2011  252  28821632       1.92      -1.00      -1.39      -0.85    1.74830    0.00147    0.00163
2011  252  28918359       2.03      -1.50      -1.22      -0.58    1.72897    0.00163    0.00187
2011  252  29016478       1.97      -1.38      -1.25      -0.59    1.90682    0.00155    0.00235
2011  252  29114599       1.99      -1.20      -1.43      -0.62    1.76815    0.00157    0.00180
2011  252  29212716       2.00      -1.35      -1.26      -0.75    1.68719    0.00159    0.00164
2011  252  29310835       2.03      -1.22      -1.42      -0.76    1.68906    0.00163    0.00163
2011  252  29408955       1.95      -1.23      -1.36      -0.68    1.70212    0.00151    0.00170
2011  252  29500800       1.93      -1.23      -1.33      -0.66    1.71891    0.00148    0.00198
2011  252  29608259       1.92      -1.30      -1.22      -0.70    1.75088    0.00146    0.00185
2011  252  29703312       1.85      -1.24      -1.14      -0.74    1.64944    0.00136    0.00158
2011  252  29801431       1.89      -1.34      -1.11      -0.72    1.63617    0.00141    0.00164
2011  252  29899550       1.99      -1.37      -1.31      -0.59    1.61278    0.00157    0.00167
2011  252  29997669       1.87      -1.07      -1.34      -0.71    1.62554    0.00139    0.00165
2011  252  30095789       1.76      -0.42      -1.31      -1.07    1.71525    0.00123    0.00199
