Wind SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Vth         Np    
                          km/s       cm^3   
2000  196  58829760       95.2        7.6
2000  196  59110559       97.0        6.3
2000  196  59388767      100.5        7.0
2000  196  59672160      121.7        5.9
2000  196  59858784       93.5        6.2
2000  196  59950368       90.2        2.1
2000  196  60140447      124.1        5.5
2000  196  60418655      125.0        6.6
2000  196  60605279       93.5        5.2
2000  196  60702048      147.1        4.5
2000  196  60888672      125.1        7.3
2000  196  61070975      146.6        7.8
2000  196  61536672      123.8        9.3
2000  196  61630848      108.7        8.1
2000  196  61814880      107.4        7.8
2000  196  61906463      119.6        7.5
2000  196  62095680      121.9        7.6
2000  196  62473248      107.6        6.2
2000  196  62659872       89.5        5.5
2000  196  62849951      108.2        7.0
2000  196  62943263      112.8        7.2
2000  196  63226655       93.4        5.7
2000  196  63785663       45.9       16.9
2000  196  64443167       50.6       30.3
2000  196  64726559       62.6       25.0
2000  196  65473055       46.0       18.8
2000  196  65756447       61.8       24.5
2000  196  65847168       58.0       22.9
2000  196  66037247       65.9       22.4
2000  196  66598847       67.6       22.9
2000  196  66689568       86.8       28.4
2000  196  67056767       64.4       19.8
2000  196  67148351       62.0       18.9
2000  196  67333248       64.1       21.7
2000  196  67423968       59.5       18.3
2000  196  67700447       58.2       18.1
2000  196  68727743       62.7       18.8
2000  196  68821055       52.5       16.5
2000  196  69010272       48.6       22.9
2000  196  70040160       43.9       25.9
2000  196  70222463       37.3       25.1
2000  196  70316640       41.1       24.3
2000  196  70956863       29.9       17.6
2000  196  71144352       45.7       23.8
2000  196  72248543       45.5       24.2
2000  196  72430848       40.0       24.1
2000  196  72524160       45.9       20.5
2000  196  72893952       44.3       18.2
2000  196  72987264       27.2       15.0
2000  196  73270655       49.9       15.2
2000  196  73829664       48.4       15.8
2000  196  73923840       42.9       17.3
2000  196  74581344       47.5       14.8
2000  196  75330432       47.4       13.8
2000  196  75886848       53.0        9.8
2000  196  76163327       52.6       11.2
2000  196  76991039       55.8       11.3
2000  196  77266656       59.8       11.3
2000  196  77543136       55.4       10.9
2000  196  77818751       62.8       10.9
2000  196  78095231       60.6        9.8
2000  196  78550560       73.6        8.3
2000  196  78827040       68.8        8.0
2000  196  79379136       57.1       10.5
2000  196  79654752       71.6       12.4
2000  196  79931231       50.7       11.8
2000  196  80116127       78.5       10.2
2000  196  80483328       52.4       12.7
2000  196  80758943       57.2       22.8
2000  196  81219456       55.0       26.5
2000  196  81771551       53.9       11.1
2000  196  81956447       46.0       14.2
2000  196  83334527       43.0        8.4
2000  196  83612735       48.7       10.8
2000  196  83979936       59.8        9.1
2000  196  84164832       43.4        9.6
2000  196  84532031       82.8       10.3
2000  196  84899232       37.4       12.6
2000  197    243648       48.6       29.6
2000  197    524447       43.4       14.1
2000  197    903743       36.0       10.1
2000  197   1374623       90.6       18.7
2000  197   1658016       36.3        9.3
2000  197   2306016       34.9       10.2
2000  197   2492640       14.7        9.1
2000  197   3047327       44.9       15.9
2000  197   3143232       35.0        8.7
2000  197   3421440       39.1       10.7
2000  197   3892320       59.7        9.9
2000  197   3985632       33.3        9.5
2000  197   4173120       48.1       12.6
2000  197   4266432       36.1        8.6
2000  197   5296319       37.9        8.4
2000  197   5387040       68.7        8.3
2000  197   6045408       38.5        9.8
2000  197   6786720       38.1        6.6
2000  197   7062335       35.4        7.2
2000  197   7244640       37.2        6.2
2000  197   7336224       34.8        6.1
2000  197   7427808       33.9        6.6
2000  197   7518527       31.1        5.9
2000  197   8910431       32.5        6.1
2000  197   8999424       31.1        6.1
2000  197   9091008       35.7        4.1
2000  197   9181727       32.1        5.8
2000  197   9366623       29.8        5.9
2000  197   9458207       43.3        5.9
2000  197   9921312      103.3        4.2
2000  197  10014624       36.4        5.4
2000  197  10473407       24.3        3.8
2000  197  10749024       56.2        3.8
2000  197  12409632       31.3        2.2
2000  197  12597120       27.6        3.4
2000  197  12787199       17.6        1.4
