Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Psw         Pb        Pth    
                          nPa        nPa        nPa    
2011  252  30978861    1.59075    0.00204    0.00188
2011  252  31076980    1.35794    0.00221    0.00148
2011  252  31175099    1.46038    0.00249    0.00199
2011  252  31273216    1.61912    0.00212    0.00198
2011  252  31371335    1.65938    0.00194    0.00199
2011  252  31461789    1.67827    0.00189    0.00218
2011  252  31570640    1.67347    0.00171    0.00196
2011  252  31665693    1.57362    0.00137    0.00198
2011  252  31763812    1.53624    0.00147    0.00184
2011  252  31863464    1.48427    0.00163    0.00167
2011  252  31960050    1.38939    0.00170    0.00122
2011  252  32058169    1.40268    0.00143    0.00159
2011  252  32156289    1.28823    0.00067    0.00127
2011  252  32254408    1.34457    0.00053    0.00144
2011  252  32352527    1.35362    0.00095    0.00134
2011  252  32442980    1.15222    0.00132    0.00124
2011  252  32551832    1.19751    0.00139    0.00114
2011  252  32646884    1.20054    0.00131    0.00113
2011  252  32745003    1.17568    0.00140    0.00104
2011  252  32843121    1.20548    0.00103    0.00117
2011  252  32941242    1.32905    0.00093    0.00142
2011  252  33039359    1.34987    0.00112    0.00132
2011  252  33137480    1.42536    0.00079    0.00157
2011  252  33235597    1.45500    0.00050    0.00157
2011  252  33333718    1.31809    0.00080    0.00130
2011  252  33726195    1.63930    0.00086    0.00170
2011  252  33824312    1.72132    0.00101    0.00177
2011  252  33922433    1.69787    0.00143    0.00174
2011  252  34020550    1.78108    0.00147    0.00178
2011  252  34118671    1.76934    0.00159    0.00189
2011  252  34216789    1.76019    0.00145    0.00189
2011  252  34314910    1.88838    0.00149    0.00217
2011  252  34405363    1.92540    0.00157    0.00244
2011  252  34514214    1.80141    0.00151    0.00193
2011  252  34609265    1.80915    0.00149    0.00200
2011  252  34707382    1.82750    0.00163    0.00198
2011  252  34805503    1.97125    0.00171    0.00236
2011  252  34903625    1.99952    0.00164    0.00236
2011  252  35004808    2.23572    0.00248    0.00283
2011  252  35102925    2.25307    0.00243    0.00289
2011  252  35201046    2.24375    0.00253    0.00268
2011  252  35299164    1.99924    0.00161    0.00224
2011  252  35391011    1.95465    0.00155    0.00252
2011  252  35498468    2.04006    0.00162    0.00228
2011  252  35593523    2.02077    0.00162    0.00223
2011  252  35693171    2.04799    0.00163    0.00229
2011  252  35791296    2.06736    0.00165    0.00228
2011  252  35889414    2.28947    0.00178    0.00267
2011  252  35987531    2.28611    0.00168    0.00260
2011  252  36085652    2.21962    0.00147    0.00244
2011  252  36183769    2.14107    0.00169    0.00219
2011  252  36281890    2.12819    0.00170    0.00218
2011  252  36373738    2.33230    0.00180    0.00388
2011  252  36484257    2.47439    0.00174    0.00287
2011  252  36579316    2.52719    0.00161    0.00281
2011  252  36678964    2.49741    0.00144    0.00289
2011  252  36777085    2.59044    0.00149    0.00301
2011  252  36873671    2.55688    0.00162    0.00292
2011  252  36973324    2.66810    0.00151    0.00348
2011  252  37071441    2.71980    0.00145    0.00319
2011  252  37169562    2.78615    0.00146    0.00337
2011  252  37267679    2.81227    0.00148    0.00350
2011  252  37357996    3.05472    0.00148    0.00465
2011  252  37463777    3.08944    0.00152    0.00514
2011  252  37558828    3.11707    0.00153    0.00465
2011  252  37657089    3.21910    0.00150    0.00481
2011  252  37755207    3.47673    0.00163    0.00575
2011  252  37850261    3.50784    0.00155    0.00548
2011  252  37951449    3.47336    0.00165    0.00497
2011  252  38052492    3.57870    0.00139    0.00593
2011  252  38150749    3.42668    0.00107    0.00543
2011  252  38248871    3.41370    0.00097    0.00530
2011  252  38342390    3.45659    0.00102    0.00599
2011  252  38448035    3.85157    0.00125    0.00786
2011  252  38543085    3.52556    0.00121    0.00549
2011  252  38641207    3.59774    0.00135    0.00566
2011  252  38739324    3.98300    0.00186    0.00637
2011  252  38837445    4.01445    0.00213    0.00615
2011  252  38935562    3.85110    0.00153    0.00544
2011  252  39033683    3.68542    0.00132    0.00568
2011  252  39131800    3.63226    0.00140    0.00553
2011  252  39230062    3.70175    0.00142    0.00601
2011  252  39323406    3.82517    0.00122    0.00579
2011  252  39429191    3.77297    0.00163    0.00502
2011  252  39524417    3.86164    0.00162    0.00535
2011  252  39622539    4.03929    0.00123    0.00571
2011  252  39720656    4.08330    0.00129    0.00581
2011  252  39818777    4.19780    0.00137    0.00622
2011  252  39916894    4.12797    0.00166    0.00563
2011  252  40015015    4.28080    0.00156    0.00629
2011  252  40112957    4.44149    0.00157    0.00635
2011  252  40211253    4.50623    0.00171    0.00638
2011  252  40304773    4.61980    0.00208    0.00730
2011  252  40410558    4.66417    0.00237    0.00645
2011  252  40505609    4.77856    0.00234    0.00720
2011  252  40603730    4.78064    0.00224    0.00695
2011  252  40701847    4.79032    0.00292    0.00670
2011  252  40799968    4.65699    0.00253    0.00607
2011  252  40898085    4.75822    0.00221    0.00639
2011  252  40996207    4.89139    0.00207    0.00681
2011  252  41094324    4.83008    0.00219    0.00629
2011  252  41192445    4.76166    0.00227    0.00615
2011  252  41287355    5.12771    0.00222    0.00776
2011  252  41391750    5.53517    0.00233    0.00744
2011  252  41486625    6.14601    0.00260    0.00869
2011  252  41587808    6.86630    0.00397    0.01209
2011  252  41685929    7.08031    0.00543    0.01178
2011  252  41784046    6.23669    0.00612    0.00890
2011  252  41882167    7.90748    0.00633    0.01494
2011  252  41980289    7.37194    0.00663    0.01275
2011  252  42078441    6.34941    0.00732    0.00759
2011  252  42176558    6.97150    0.00689    0.01066
2011  252  42270046    7.73129    0.00643    0.01654
2011  252  42372761    8.67572    0.00616    0.01689
2011  252  42477015   16.40116    0.01939    0.03484
2011  252  42569000   19.14270    0.02309    0.05337
2011  252  42664089   20.03390    0.01030    0.04934
2011  252  42763707   22.37109    0.00494    0.05689
2011  252  42858042   22.79186    0.01526    0.05656
2011  252  42956878   24.15826    0.00835    0.05115
2011  252  43055000   25.54357    0.00785    0.05107
2011  252  43153117   27.00541    0.01146    0.06844
2011  252  43257367   26.81996    0.01079    0.06813
2011  252  43352421   26.63295    0.00487    0.05813
2011  252  43447476   26.01386    0.02222    0.07268
2011  252  43545593   28.65070    0.02098    0.05690
2011  252  43645246   26.34146    0.04007    0.04653
2011  252  43741113   19.18371    0.11052    0.05335
2011  252  43841449   20.01817    0.10916    0.04897
2011  252  43938882   14.60874    0.17787    0.04481
2011  252  44035472   12.59566    0.18623    0.03183
2011  252  44138906   12.15708    0.16426    0.05539
2011  252  44238558    9.59858    0.18010    0.04975
2011  252  44336851   16.12867    0.13061    0.05026
2011  252  44433265    6.90027    0.19828    0.03067
2011  252  44534484    5.80342    0.20117    0.06967
2011  252  44629539    6.73888    0.19552    0.07752
2011  252  44727691    5.44199    0.20271    0.05744
2011  252  44825917    7.19800    0.13349    0.11356
2011  252  44920828    6.18537    0.15924    0.10528
2011  252  45022156    6.68172    0.16458    0.10416
2011  252  45120273    7.62686    0.15370    0.14710
2011  252  45224527    7.16339    0.14997    0.12395
2011  252  45319578    7.11430    0.15094    0.11508
2011  252  45414632    7.13752    0.15640    0.12109
2011  252  45512749    7.01233    0.15142    0.09536
2011  252  45610867    7.06944    0.15050    0.10010
2011  252  45708988    7.22957    0.14263    0.10573
2011  252  45806968    7.48916    0.16265    0.13738
2011  252  45905085    7.04334    0.14638    0.09567
2011  252  46003207    8.54253    0.11593    0.16574
2011  252  46101464    7.60177    0.12031    0.11463
2011  252  46205578    9.58746    0.07121    0.16755
2011  252  46300628    6.44088    0.10685    0.11540
2011  252  46395679    7.29550    0.13973    0.16440
2011  252  46493765    6.99234    0.15294    0.10102
2011  252  46591917    6.91755    0.14683    0.10051
2011  252  46690039    7.48164    0.12601    0.13542
2011  252  46778960    7.42055    0.11393    0.13449
2011  252  46886277    7.53258    0.11064    0.13763
2011  252  46984429    6.88749    0.09591    0.10597
2011  252  47082515    8.10535    0.08914    0.15555
2011  252  47186765    7.92577    0.09091    0.16730
2011  252  47281820    8.11420    0.10281    0.17078
2011  252  47376871    6.94359    0.11237    0.11403
2011  252  47474992    7.64847    0.11124    0.16606
2011  252  47573144    6.26763    0.10039    0.10707
2011  252  47671265    6.72120    0.09417    0.12454
2011  252  47769382    7.37058    0.09145    0.17379
2011  252  47867503    7.05584    0.07271    0.14697
2011  252  47965761    9.58253    0.01016    0.23681
2011  252  48063777    9.53761    0.00912    0.23363
2011  252  48171058    9.34355    0.01016    0.21263
2011  252  48250921    8.76265    0.00679    0.19246
2011  252  48362730    8.52400    0.03821    0.18609
2011  252  48647894    7.23022    0.11757    0.18190
2011  252  48746152    9.12097    0.09409    0.30263
2011  252  48846445    8.21462    0.06491    0.15453
2011  252  48942250    7.14899    0.10512    0.15920
2011  252  49046675    7.23935    0.04887    0.19587
2011  252  49152425    7.03155    0.03177    0.19010
2011  252  49250546    8.18896    0.03548    0.21636
2011  252  49345421    6.08051    0.12313    0.12006
2011  252  49426679    6.03982    0.09384    0.15189
2011  252  49530253    5.92577    0.10245    0.13892
2011  252  49621558    3.86680    0.14514    0.08047
2011  252  49733542    6.02883    0.09600    0.13837
2011  252  49827031    4.80002    0.09325    0.11755
2011  252  49925042    3.79048    0.11231    0.07080
2011  252  50023234    3.73019    0.12939    0.06331
2011  252  50127484    4.48581    0.12383    0.05208
2011  252  50222539    5.15465    0.12005    0.05495
2011  252  50317589    4.80592    0.12522    0.06938
2011  252  50415710    3.76146    0.13798    0.05095
2011  252  50513863    3.70039    0.14180    0.03804
2011  252  50611949    4.07383    0.14363    0.04474
2011  252  50710066    3.68213    0.13973    0.03015
2011  252  50808046    4.52128    0.12896    0.05547
2011  252  50901566    4.80183    0.13603    0.06520
2011  252  51004425    4.14088    0.15251    0.05357
2011  252  51114773    4.92422    0.11909    0.08686
2011  252  51196746    4.28607    0.12676    0.06019
2011  252  51298781    3.96239    0.13324    0.06053
2011  252  51396898    4.74236    0.13228    0.09996
2011  252  51499617    4.30373    0.14797    0.03627
2011  252  51590074    4.23136    0.12816    0.06872
2011  252  51687339    4.32341    0.12239    0.07233
2011  252  51784640    4.25558    0.13530    0.09251
2011  252  51887320    4.82021    0.13501    0.14806
2011  252  51996207    4.07809    0.14634    0.05289
2011  252  52095964    4.01015    0.15184    0.06684
2011  252  52177863    3.47609    0.14414    0.05051
2011  252  52275234    3.93462    0.13264    0.06935
2011  252  52373632    4.15960    0.13713    0.08489
2011  252  52471121    4.22295    0.13616    0.08174
2011  252  52584921    4.18905    0.14114    0.06874
2011  252  52666316    4.79948    0.13036    0.08511
2011  252  52767468    3.95150    0.16766    0.04559
2011  252  52870042    3.39718    0.20936    0.04994
2011  252  52972085    3.08142    0.21476    0.03022
2011  252  53075656    3.86710    0.18930    0.05454
2011  252  53165261    3.44461    0.18976    0.04988
2011  252  53251753    3.18035    0.15134    0.03592
2011  252  53359074    3.31777    0.16599    0.05623
2011  252  53451910    3.66404    0.15621    0.06468
2011  252  53550027    3.41771    0.13019    0.09964
2011  252  53658097    3.48814    0.10825    0.10783
2011  252  53747156    3.12214    0.10853    0.06667
2011  252  53845960    3.11427    0.12143    0.08219
2011  252  53950140    2.95987    0.11969    0.07353
2011  252  54060597    2.71860    0.12688    0.05342
2011  252  54138105    2.57495    0.13409    0.09556
2011  252  54242320    2.52178    0.13847    0.05500
2011  252  54332808    2.55427    0.14213    0.05191
2011  252  54443875    2.27154    0.14629    0.03518
2011  252  54536535    2.48446    0.15507    0.07063
2011  252  54634796    2.07146    0.15704    0.04928
2011  252  54728175    2.30053    0.15599    0.06675
2011  252  54833855    2.10897    0.15563    0.03608
2011  252  54943667    2.25563    0.15914    0.04389
2011  252  55030339    2.55224    0.15581    0.03478
2011  252  55121437    2.72099    0.15343    0.04505
2011  252  55216562    3.22005    0.14686    0.04174
2011  252  55327761    3.71716    0.12446    0.06986
2011  252  55419679    5.15335    0.07980    0.06382
2011  252  55519363    5.18459    0.07732    0.09421
2011  252  55620445    4.90432    0.10685    0.07565
