                               Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V         Vth         Np        Beta        Va         Ma        Mms    
                           nT         nT         nT         nT        km/s       km/s       cm^3                  km/s                         
2009  200  17765300       2.93      -1.83      -0.66       2.19      291.5       16.3        7.4      0.477       23.6      12.35       9.43
2009  200  17860179       2.97      -1.77      -0.53       2.33      292.9       16.3        6.7      0.427       25.0      11.73       9.16
2009  200  17958117       2.98      -1.85      -0.53       2.26      292.5       16.8        6.6      0.439       25.4      11.51       8.94
2009  200  18056056       2.90      -1.77      -0.72       2.17      290.8       17.3        6.8      0.506       24.3      11.98       9.03
2009  200  18155384       2.95      -1.66      -0.73       2.33      293.2       16.8        6.7      0.460       24.8      11.81       9.08
2009  200  18251933       2.74      -1.60      -0.53       2.15      291.8       18.1        6.6      0.607       23.2      12.58       9.10
2009  200  18346810       2.60      -1.47      -0.65       2.03      291.2       20.0        6.6      0.825       22.0      13.22       8.84
2009  200  18444748       2.78      -1.61      -0.63       2.18      291.5       18.4        6.4      0.587       24.0      12.16       8.87
2009  200  18542687       2.69      -1.68      -0.42       2.04      291.5       17.9        6.3      0.589       23.3      12.51       9.11
2009  200  18629914       2.67      -1.60      -0.43       2.09      289.7       19.3        6.7      0.733       22.6      12.84       8.86
2009  200  18741624       2.66      -1.65      -0.45       2.04      290.2       18.1        6.7      0.648       22.5      12.90       9.19
2009  200  18836501       2.62      -1.60      -0.30       2.04      290.1       18.5        6.9      0.716       21.8      13.30       9.23
2009  200  18934439       2.65      -1.61      -0.28       2.08      290.2       18.8        6.8      0.715       22.2      13.06       9.07
2009  200  19032378       2.34      -1.37       0.09       1.89      290.5       19.4        7.1      1.029       19.1      15.20       9.53
2009  200  19130316       2.37      -1.27       0.19       1.72      292.2       20.3        7.0      1.076       19.5      14.95       9.25
2009  200  19228255       2.71      -1.15       2.41       0.44      292.8       17.3        6.7      0.574       22.9      12.79       9.37
2009  200  19326193       2.74      -1.17       2.45       0.28      290.7       17.9        6.6      0.598       23.2      12.53       9.09
2009  200  19424132       2.73      -1.27       2.40       0.22      293.0       17.6        6.7      0.586       23.0      12.76       9.31
2009  200  19522070       2.91      -1.27       2.61       0.19      293.6       16.9        6.4      0.457       25.0      11.73       9.03
2009  200  19609298       2.90      -1.46       2.50       0.16      290.1       18.2        6.7      0.550       24.5      11.85       8.77
2009  200  19721007       2.93      -1.52       2.49       0.19      290.3       17.4        6.5      0.485       25.0      11.63       8.85
2009  200  19815886       2.85      -1.43       2.40       0.54      290.5       17.7        6.9      0.560       23.7      12.28       9.05
2009  200  19913824       2.78      -1.62       2.15       0.67      291.3       17.4        6.7      0.553       23.3      12.48       9.22
2009  200  20008701       2.79      -1.72       2.07       0.72      290.8       17.4        6.7      0.550       23.5      12.36       9.15
2009  200  20106499       2.93      -1.58       2.46      -0.14      290.6       17.3        6.7      0.491       24.7      11.74       8.91
2009  200  20204578       3.00      -1.69       2.46      -0.26      289.8       16.8        6.3      0.417       26.0      11.15       8.75
2009  200  20302376       3.10      -1.84       2.48      -0.29      288.8       16.7        6.3      0.383       26.9      10.72       8.54
2009  200  20400314       3.15      -1.92       2.45      -0.49      288.8       17.3        6.4      0.410       27.1      10.66       8.39
2009  200  20498251       3.16      -1.79       2.54      -0.57      288.8       16.7        6.3      0.373       27.4      10.53       8.44
2009  200  20585480       3.16      -1.74       2.56      -0.64      288.3       17.9        6.6      0.443       26.9      10.72       8.31
2009  200  20697330       2.99      -1.46       2.55      -0.53      291.0       16.8        6.5      0.431       25.6      11.36       8.85
2009  200  20792208       2.96      -1.39       2.57      -0.49      290.9       16.6        6.4      0.426       25.5      11.42       8.92
2009  200  20890146       3.08      -1.25       2.74      -0.59      290.1       16.7        6.5      0.404       26.3      11.03       8.71
2009  200  20987945       3.12      -1.20       2.81      -0.61      289.0       16.9        6.3      0.389       27.0      10.70       8.50
2009  200  21085882       3.11      -1.12       2.83      -0.60      288.4       16.8        6.4      0.391       26.9      10.74       8.53
2009  200  21183962       2.94      -0.95       2.72      -0.56      290.9       16.7        6.7      0.450       24.8      11.71       9.05
2009  200  21281900       2.95      -0.80       2.78      -0.58      291.2       16.4        6.5      0.422       25.2      11.56       9.04
2009  200  21565003       3.02      -1.06       2.72      -0.78      289.2       17.4        6.5      0.458       25.8      11.21       8.64
2009  200  21676574       3.00      -1.02       2.69      -0.86      289.5       16.4        6.3      0.398       26.0      11.12       8.80
2009  200  21771451       3.01      -0.98       2.69      -0.91      289.4       16.0        6.2      0.372       26.3      11.01       8.82
2009  200  21869529       2.89      -0.98       2.60      -0.80      290.4       15.7        6.5      0.401       24.8      11.71       9.26
2009  200  21967328       2.93      -1.05       2.60      -0.87      288.7       17.1        6.6      0.468       25.0      11.56       8.86
2009  200  22065265       2.93      -1.04       2.52      -1.07      288.3       17.3        6.7      0.485       24.8      11.64       8.85
2009  200  22163205       3.10      -0.93       2.65      -1.29      288.2       16.7        5.7      0.349       28.3      10.18       8.25
2009  200  22261283       2.93      -0.14       2.45      -1.44      291.1       16.8        6.4      0.444       25.2      11.55       8.95
2009  200  22359082       3.12       0.47       2.55      -1.74      290.0       17.3        5.7      0.368       28.4      10.20       8.18
2009  200  22457019       3.10       0.39       2.59      -1.66      288.8       17.5        5.9      0.393       27.9      10.35       8.20
2009  200  22544388       3.08       0.25       2.60      -1.62      288.9       18.2        6.0      0.437       27.5      10.51       8.17
2009  200  22655957       3.01       0.02       2.59      -1.52      290.9       17.1        6.0      0.407       26.8      10.86       8.55
2009  200  22750835       2.95       0.13       2.46      -1.62      289.5       17.5        6.1      0.445       26.2      11.06       8.56
2009  200  22848773       2.96      -0.10       2.36      -1.78      290.5       16.9        6.2      0.426       25.9      11.22       8.77
2009  200  22946712       2.94      -0.19       2.35      -1.74      290.1       17.0        6.0      0.422       26.2      11.08       8.67
2009  200  23044791       2.97      -0.24       2.29      -1.85      291.3       16.8        5.9      0.397       26.7      10.91       8.63
2009  200  23142728       2.96       0.09       2.43      -1.69      291.4       16.5        6.0      0.393       26.3      11.10       8.80
2009  200  23240527       2.93       0.05       2.32      -1.79      289.9       16.6        6.0      0.403       26.1      11.10       8.77
2009  200  23338605       2.94      -0.09       2.36      -1.74      290.7       16.7        6.1      0.410       26.0      11.17       8.79
2009  200  23436404       2.97      -0.20       2.48      -1.61      289.9       16.4        5.9      0.377       26.8      10.83       8.66
2009  200  23523771       2.98      -0.13       2.46      -1.65      289.5       18.4        5.7      0.454       27.3      10.60       8.17
2009  200  23635341       2.93      -0.08       2.20      -1.92      290.3       17.9        5.8      0.460       26.5      10.97       8.44
2009  200  23730359       2.90      -0.23       2.00      -2.08      290.8       18.0        5.7      0.461       26.5      10.98       8.45
2009  200  23828158       2.59      -0.14       1.71      -1.92      289.8       16.9        6.0      0.538       23.1      12.55       9.34
2009  200  23926095       2.44      -0.04       1.33      -2.04      289.6       17.7        6.3      0.692       21.2      13.64       9.55
2009  200  24024035       2.46      -0.21       1.13      -2.16      289.8       17.9        6.2      0.697       21.5      13.50       9.44
2009  200  24121972       2.54      -0.06       1.39      -2.12      289.4       17.5        6.1      0.604       22.5      12.86       9.31
