                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz    
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s   
2011  252  13219172       1.47       0.90      -0.51      -1.01     -44.37     330.70      328.7     -328.6       -4.2       -1.2
2011  252  13317291       1.41       0.94      -0.60      -0.83     -36.53     327.21      330.1     -330.0       -4.4       -2.0
2011  252  13415411       1.35       1.01      -0.61      -0.60     -27.10     329.08      329.9     -329.8       -5.0       -2.6
2011  252  13513670       1.47       1.15      -0.89      -0.08      -3.22     322.45      330.2     -330.1       -5.5       -2.2
2011  252  13611649       1.21       0.95      -0.71      -0.05      -2.60     323.45      330.3     -330.2       -6.3       -0.9
2011  252  13709767       1.09       0.85      -0.68       0.10       5.34     321.32      330.2     -330.1       -5.3       -2.9
2011  252  13803427       1.25       1.04      -0.63      -0.19      -8.67     328.85      329.1     -329.0       -4.0       -3.1
2011  252  13909072       1.40       0.95      -0.55      -0.79     -35.56     329.69      329.3     -329.3       -5.4       -1.6
2011  252  14004265       1.17       0.53      -0.40      -0.95     -55.23     322.86      330.0     -330.0       -5.4       -2.4
2011  252  14102244       1.40       0.85      -0.32      -1.06     -49.29     339.60      329.4     -329.3       -6.1       -2.4
2011  252  14197296       1.45       0.79      -0.29      -1.18     -54.66     339.92      328.8     -328.7       -5.8       -2.9
2011  252  14295416       1.57       0.97      -0.35      -1.17     -48.70     340.05      328.7     -328.7       -5.5       -2.2
2011  252  14396600       1.58       1.01      -0.50      -1.10     -44.40     333.81      329.5     -329.5       -5.5       -2.2
2011  252  14494860       1.64       1.16      -0.58      -1.01     -37.77     333.57      330.9     -330.8       -5.6       -2.8
2011  252  14592979       1.74       0.88      -0.67      -1.31     -49.84     322.67      329.2     -329.2       -5.2       -2.8
2011  252  14690958       1.50       0.16      -0.26      -1.36     -77.44     301.70      325.5     -325.4       -7.4       -1.4
2011  252  14784478       1.51       0.48      -0.38      -1.36     -65.99     321.43      328.6     -328.5       -6.1       -0.1
2011  252  14890262       1.73       0.47      -0.54      -1.56     -65.34     311.33      328.4     -328.4       -6.3        1.4
2011  252  14985315       2.07       0.68      -0.74      -1.81     -60.91     312.44      328.2     -328.1       -5.5       -0.7
2011  252  15083433       1.94       0.69      -0.66      -1.69     -60.47     316.20      327.6     -327.6       -4.9       -0.2
2011  252  15181552       1.88       0.72      -0.55      -1.62     -60.70     322.79      328.3     -328.3       -6.9       -1.8
2011  252  15279671       1.84       0.67      -0.75      -1.53     -56.81     311.75      328.1     -328.1       -5.5       -1.1
2011  252  15377791       1.51       0.21      -0.86      -1.15     -52.38     283.41      325.8     -325.7       -5.5       -3.9
2011  252  15482041       1.46       0.34      -0.78      -1.05     -50.98     293.85      327.9     -327.8       -7.3       -5.1
2011  252  15571103       1.47      -0.97      -0.66      -0.86     -36.42     214.47      321.9     -321.8       -6.9       -4.1
2011  252  15675355       1.34      -1.12      -0.45      -0.58     -25.71     201.75      321.4     -321.3       -6.9       -4.2
2011  252  15762602       1.36      -1.21      -0.21      -0.54     -23.78     189.71      321.8     -321.7       -8.1       -5.4
2011  252  15866993       1.41      -1.35       0.06      -0.33     -13.63     177.50      321.2     -321.0       -9.6       -5.1
2011  252  15971246       1.41      -1.19      -0.10      -0.75     -32.22     184.65      320.6     -320.5       -9.0       -4.2
2011  252  16070898       1.49      -0.90      -0.19      -1.11     -50.29     191.86      322.0     -321.9       -8.8       -0.5
2011  252  16169016       1.50      -0.62      -0.32      -1.32     -62.30     207.72      323.2     -323.1       -8.2        0.3
2011  252  16267135       1.51      -0.56      -0.26      -1.37     -65.60     204.81      323.4     -323.2       -8.3        0.7
2011  252  16564417       1.65       0.88      -0.53      -1.29     -51.30     328.96      326.2     -326.0       -8.7        0.9
2011  252  16661003       1.79       0.58      -0.61      -1.52     -60.97     313.90      322.9     -322.8       -8.1        3.4
2011  252  16749923       2.07       0.42      -0.65      -1.91     -67.86     302.55      325.9     -325.8       -7.8        1.6
2011  252  16854316       2.00       0.34      -0.56      -1.89     -70.83     301.58      325.0     -324.9       -8.5        2.1
2011  252  16956894       1.97       0.38      -0.56      -1.84     -69.85     303.95      325.7     -325.6       -8.1        2.1
2011  252  17055414       2.02       0.57      -0.60      -1.84     -65.80     313.19      326.7     -326.4      -13.3        2.5
2011  252  17152732       2.03       0.54      -0.80      -1.78     -61.43     304.06      326.2     -326.1       -1.4        1.1
2011  252  17251251       2.03       0.31      -0.77      -1.84     -65.70     291.79      325.6     -325.5       -6.7        1.4
2011  252  17349371       2.07       0.50      -0.71      -1.88     -65.06     305.05      327.0     -327.0       -7.1        1.8
2011  252  17447490       2.06       0.42      -0.73      -1.88     -65.77     300.17      326.2     -326.1       -6.9        1.8
2011  252  17545609       2.06       0.39      -0.79      -1.86     -64.63     296.04      326.1     -326.0       -6.6        1.2
2011  252  17643728       2.03       0.47      -0.75      -1.82     -64.11     302.19      325.3     -325.3       -6.7        2.0
2011  252  17731115       2.05       0.35      -0.71      -1.89     -67.45     296.10      325.1     -325.0       -6.9        0.5
2011  252  17836900       1.98       0.20      -0.74      -1.83     -67.15     285.29      325.0     -324.9       -6.6        2.1
2011  252  17938083       2.02       0.34      -0.70      -1.86     -67.40     295.66      325.0     -325.0       -6.7        1.5
2011  252  18036203       2.04       0.34      -0.69      -1.89     -67.93     296.21      325.8     -325.7       -6.8        1.8
2011  252  18134322       1.97       0.14      -0.68      -1.83     -69.34     281.66      325.2     -325.1       -6.5        2.0
2011  252  18232441       1.92       0.73      -0.38      -1.72     -64.46     332.78      327.5     -327.4       -7.8        1.1
2011  252  18324427       1.87       0.90      -0.25      -1.61     -59.83     344.26      327.8     -327.7       -8.4        0.2
2011  252  18422546       1.85       0.96      -0.17      -1.57     -58.30     349.89      328.5     -328.3       -8.8        0.4
2011  252  18520666       1.90       0.89      -0.20      -1.66     -61.13     347.16      327.4     -327.3       -8.0        0.3
2011  252  18618785       1.88       0.96      -0.41      -1.56     -56.27     336.69      327.4     -327.3       -7.8        0.5
2011  252  18818089       1.90       0.78      -0.44      -1.68     -61.87     330.78      327.3     -327.2       -8.6        1.0
2011  252  18919275       1.92       0.58      -0.50      -1.75     -66.37     319.28      328.1     -328.0       -8.8        2.1
2011  252  19011261       1.98       0.47      -0.40      -1.87     -71.79     319.10      326.3     -326.2       -8.0        1.4
2011  252  19115513       2.00       0.45      -0.45      -1.90     -71.46     315.28      326.7     -326.5       -8.3        3.0
2011  252  19213632       2.02       0.46      -0.49      -1.91     -70.46     313.08      326.5     -326.4       -7.9        2.2
2011  252  19311751       2.05       0.46      -0.66      -1.88     -66.91     304.53      326.4     -326.3       -7.5        1.6
2011  252  19409871       2.06       0.40      -0.73      -1.87     -66.11     298.50      326.7     -326.6       -6.3        0.9
2011  252  19505064       2.00       0.03      -0.57      -1.92     -73.40     273.09      324.6     -324.5       -7.6        1.2
2011  252  19606109       2.09       0.33      -0.55      -1.99     -72.17     300.85      326.1     -326.0       -8.0        2.3
2011  252  19693496       2.06       0.27      -0.60      -1.95     -71.38     294.36      326.1     -326.0       -8.0        0.6
2011  252  19799281       2.02       0.09      -0.63      -1.92     -71.54     278.48      325.1     -325.0       -7.7        1.8
2011  252  19899074       2.02       0.24      -0.53      -1.93     -73.18     294.09      325.5     -325.4       -7.9        3.4
2011  252  19997191       2.09       0.25      -0.41      -2.02     -76.58     301.36      325.1     -325.0       -9.3        2.9
2011  252  20095169       1.75       0.18      -0.50      -1.67     -72.50     289.60      324.7     -324.6       -7.0        3.8
2011  252  20193289       1.73       0.26      -0.50      -1.63     -71.03     297.97      324.7     -324.7       -6.6        3.6
2011  252  20290015       1.91      -0.23      -0.57      -1.79     -71.12     247.70      323.3     -323.1       -7.7        4.6
2011  252  20388134       2.05      -0.29      -0.69      -1.91     -68.66     246.91      323.4     -323.3       -7.9        2.8
2011  252  20487646       1.91      -0.22      -0.75      -1.74     -65.85     253.22      323.0     -322.9       -6.1        2.9
2011  252  20584373       1.79      -0.18      -0.64      -1.66     -68.11     254.58      323.6     -323.5       -7.3        4.5
2011  252  20674685       1.78      -0.16      -0.69      -1.63     -66.63     257.00      323.0     -322.9       -7.3        3.9
2011  252  20783677       1.94      -0.30      -0.63      -1.80     -68.74     245.02      321.9     -321.8       -7.8        3.5
2011  252  20878730       1.93      -0.56      -0.58      -1.76     -65.40     226.00      320.5     -320.4       -8.4        2.3
2011  252  20976849       2.03      -0.56      -0.69      -1.82     -64.01     230.84      322.6     -322.5       -7.5        2.6
2011  252  21074968       2.15      -0.46      -0.76      -1.95     -65.51     239.05      323.3     -323.2       -8.2        2.3
2011  252  21174480       2.16      -0.58      -0.67      -1.96     -65.67     229.38      324.6     -324.5       -8.0       -0.1
2011  252  21272740       2.08      -0.54      -0.73      -1.87     -64.21     233.64      324.5     -324.4       -7.9        1.8
2011  252  21370718       2.07      -0.60      -0.80      -1.81     -61.18     233.27      324.5     -324.4       -7.8        1.4
2011  252  21467445       2.11      -0.38      -1.00      -1.77     -58.97     249.36      322.4     -322.3      -10.4       -0.3
2011  252  21566957       2.05      -0.19      -1.10      -1.72     -56.98     260.38      322.9     -322.8       -7.2        3.2
2011  252  21655876       2.04      -0.15      -1.14      -1.69     -55.68     262.31      322.7     -322.6       -8.0        2.7
2011  252  21764869       2.04       0.02      -1.29      -1.57     -50.70     270.71      322.8     -322.7       -7.9        3.8
2011  252  21859921       2.02       0.13      -1.38      -1.47     -46.79     275.48      323.2     -323.1       -7.1        3.3
2011  252  21958041       2.00       0.12      -1.39      -1.44     -45.97     274.88      323.8     -323.7       -7.3        3.1
2011  252  22056158       1.97       0.10      -1.43      -1.35     -43.19     273.86      323.4     -323.3       -7.2        3.4
2011  252  22154277       1.96       0.05      -1.45      -1.31     -42.20     272.12      322.2     -322.2       -6.5        2.2
2011  252  22252396       1.99       0.18      -1.43      -1.37     -43.57     277.26      323.4     -323.3       -7.2        3.4
2011  252  22350515       1.95       0.20      -1.39      -1.35     -43.83     278.36      323.0     -322.9       -6.6        2.3
2011  252  22448634       1.92       0.17      -1.32      -1.38     -45.99     277.53      323.2     -323.1       -6.8        3.3
2011  252  22546753       1.83       0.04      -1.28      -1.31     -45.75     271.59      323.4     -323.3       -6.9        3.5
2011  252  22637066       1.82       0.16      -1.32      -1.23     -42.94     277.10      323.4     -323.3       -7.3        1.8
2011  252  22746058       1.84       0.22      -1.35      -1.23     -41.99     279.27      323.5     -323.4       -7.0        2.6
2011  252  22841111       1.92       0.33      -1.36      -1.31     -43.09     283.65      323.7     -323.6       -7.2        2.1
2011  252  22938142       1.88       0.03      -1.39      -1.26     -42.20     271.19      322.4     -322.2        9.5        3.4
2011  252  23037349       1.89       0.04      -1.42      -1.25     -41.46     271.50      322.6     -322.5       -7.2        2.3
2011  252  23135468       1.88      -0.01      -1.46      -1.18     -39.10     269.56      322.6     -322.5       -7.2        2.8
2011  252  23233587       1.87      -0.03      -1.50      -1.12     -36.80     268.79      322.0     -321.9       -6.9        2.2
2011  252  23331707       1.84      -0.18      -1.47      -1.08     -36.18     262.94      321.3     -321.2       -6.9        2.4
2011  252  23429826       1.83      -0.21      -1.47      -1.07     -35.65     262.02      321.5     -321.4       -7.3        1.7
2011  252  23526412       1.79      -0.65      -1.42      -0.79     -26.89     245.43      319.2     -319.1       -7.3        0.2
