                                                                                 Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz       Vtheta      Vphi       Vth         Np        Psw         Pb        Pth        Beta        Va         Ma        Mms      Epsilon  
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s       deg        deg        km/s       cm^3       nPa        nPa        nPa                   km/s                           10^11 W  
2014    1  12463087       6.05      -0.71       3.67      -4.74     -51.78     101.03      375.9     -375.3      -16.4      -13.0       -2.0     -177.5       35.5        7.1    1.94246    0.01456    0.00747      0.513       49.6       7.58       5.70      2.199
2014    1  12561397       6.20      -1.17       4.03      -4.55     -47.35     106.15      375.5     -374.8      -12.6      -19.0       -2.9     -178.1       33.7        6.9    1.88863    0.01528    0.00657      0.430       51.4       7.30       5.69      2.198
2014    1  12659881       5.99      -1.33       4.49      -3.71     -38.41     106.45      374.1     -373.0      -24.0      -14.1       -2.2     -176.3       35.8        6.9    1.86258    0.01428    0.00734      0.514       49.9       7.50       5.63      1.794
2014    1  12755466       6.17      -1.73       4.20      -4.17     -42.56     112.39      372.7     -371.5      -26.0      -12.9       -2.0     -176.0       35.6        6.9    1.86390    0.01513    0.00733      0.484       51.1       7.29       5.55      2.052
2014    1  12858393       6.09      -2.12       4.07      -3.99     -40.97     117.51      370.0     -369.0      -24.5      -13.2       -2.1     -176.2       35.8        7.1    1.88867    0.01476    0.00761      0.515       49.8       7.43       5.58      1.976
2014    1  12955514       6.23      -2.26       3.89      -4.30     -43.71     120.14      370.8     -370.0      -21.4      -11.7       -1.8     -176.7       35.8        6.5    1.74404    0.01542    0.00699      0.453       53.1       6.98       5.39      2.172
2014    1  13049384       6.33      -2.45       4.08      -4.17     -41.18     120.97      369.7     -368.5      -25.4      -14.8       -2.3     -176.1       34.6        6.5    1.71585    0.01594    0.00649      0.407       54.3       6.81       5.37      2.169
2014    1  13147695       6.28      -2.41       4.07      -4.09     -40.86     120.69      367.2     -365.8      -29.4      -13.3       -2.1     -175.4       34.6        6.8    1.77738    0.01568    0.00680      0.434       52.5       6.99       5.44      2.107
2014    1  13250973       6.33      -2.57       4.30      -3.87     -37.70     120.90      368.1     -366.8      -28.2      -13.4       -2.1     -175.6       36.1        6.8    1.79920    0.01596    0.00745      0.467       52.8       6.97       5.35      2.050
2014    1  13344666       6.36      -2.41       4.52      -3.76     -36.25     118.04      369.7     -368.7      -23.8      -12.3       -1.9     -176.3       32.8        6.4    1.70055    0.01608    0.00579      0.360       54.8       6.75       5.44      2.000
